,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
1514,W1514,handler,T64,0.0053410977798995,-0.0490208196399128,0.4748614671251606,0.0249120498377913,-0.0232052462034053,4,1.49
1515,W1515,specialty,T65,0.0107761415038097,1.7126428537692302,0.5440566665343546,0.0622103143071241,0.3676536588035685,10,1.61
1523,W1523,sliver,T23,0.0028886460957867,0.0163086763271123,0.3227627786469241,0.0392517476711273,0.1314022022962937,7,1.52
1531,W1531,miserable,T48,0.0099744853917613,0.403763385988389,0.628399241739551,0.0302826479922831,0.1374783178681517,5,1.52
1532,W1532,frozen,T65,0.0039086189362057,0.1493826066353941,0.4279424918954768,0.0183004795898574,0.1535895075931892,3,1.47
1561,W1561,silent,T64,0.0096476389352476,-0.0259269846647734,0.9407551594802818,0.032277108075337,0.0240992253635586,6,1.52
1564,W1564,lottery,T23,0.0034513518329632,1.7322512418360996,0.4559566511004458,0.0263772598200684,-0.0075092202229212,5,1.49
1565,W1565,onstage,T79,0.0058052797409842,-0.1501662420626594,0.3821983625273824,0.0124560249188956,-0.0232052462034053,2,1.46
1577,W1577,ignite,T79,0.0059378236713488,-0.1890137354365344,0.3033993922876195,0.0256791654147634,-0.1410684154011351,4,1.5
1579,W1579,nicer,T64,0.0116327976046118,0.1668851100423446,0.9011451023251488,0.0457525307504476,-0.0401576055890611,8,1.57
1580,W1580,ice,T79,0.0115470111416696,0.2546628494069906,0.8592077204781953,0.0567153013966584,0.1239477931491145,10,1.59
1581,W1581,bomb,T59,0.0035900263507253,0.2121507738297079,0.397792175980137,0.0601103607063141,0.140126399935035,10,1.58
1588,W1588,eastern,T64,0.0093245609812438,0.4216163690073038,0.6340723963620494,0.0310542681044255,0.0186836785672885,5,1.52
1589,W1589,zen,T64,0.0056720311306356,-0.1431916823098731,0.3857580369905555,0.0124560249188956,-0.0232052462034053,2,1.46
1592,W1592,marathon,T79,0.0082453669678688,1.9657817829456188,0.4417646674354312,0.0237264713286561,0.1280255178509328,4,1.5
1593,W1593,mindfulness,T79,0.0088643281903091,0.4252564820106734,0.5198899625497797,0.0178820166576942,0.0838268294017842,3,1.49
1597,W1597,sucker,T79,0.0063225528655436,0.4207008120430611,0.4517081715060809,0.0229039621673772,0.0071920161991605,4,1.49
1601,W1601,bleed,T7,0.0060129980533791,-0.1872529750549445,0.4420756520450474,0.0182450860055507,-0.1116026231017027,3,1.48
1605,W1605,chalk,T25,0.0006581573659720295,-0.0744807305876412,0.0555814212175689,0.0124560249188956,-0.0232052462034053,2,1.44
1613,W1613,vegetable,T79,0.0060368900177987,1.3209577310443774,0.4136755469139113,0.022959355751684,0.1187081684974867,4,1.49
1623,W1623,brutal,T58,0.0033677281786684,0.3641418843047745,0.2207040062819549,0.0369496118245238,0.3897530030281427,6,1.52
1626,W1626,inspirational,T53,0.0067935287930219,0.7954081445165004,0.4763653048434114,0.0283853474904826,-0.0138878968499592,5,1.51
1642,W1642,liver,T39,0.0010994815173702,-0.165577067293794,0.0935250657123466,0.0182450860055507,-0.1116026231017027,3,1.46
1645,W1645,underneath,T79,0.0126758553139729,-0.1882143335887388,0.7376806127605803,0.0688363012581055,-0.1410684154011351,11,1.63
1654,W1654,seize,T20,0.0100324879024635,0.0310380521066838,0.7408600669701756,0.0318586451431738,-0.1290432926495539,6,1.52
1655,W1655,promo,T65,0.0093482855974132,-0.1990937769595714,0.4403684020695644,0.057914507493154,-0.1873718033002432,9,1.6
1658,W1658,believer,T5,0.0134202448974201,0.9542002545748306,0.9252527727577984,0.064875519501584,0.0870680631833723,11,1.62
1664,W1664,performer,T25,0.0035512594430884,0.4584870016692675,0.2575257931863165,0.0408413724093783,0.071801706650203,7,1.53
1678,W1678,stomach,T47,0.0018189401307122,0.7083042226758077,0.2280167179538236,0.0283299539061758,0.0019119200666632,5,1.49
1692,W1692,spinning,T37,0.0073701474831891,3.0295212294449256,0.4134868744012828,0.0237264713286561,0.1280255178509328,4,1.5
1700,W1700,microscope,T53,0.0100352241653136,0.2466543213061894,0.6961323392312351,0.0407305852407647,-0.0044350968327403,7,1.55
1704,W1704,diet,T79,0.0099463970944499,0.1408579610884432,0.7729368738241359,0.0442592764777627,0.0855626612159163,8,1.56
1706,W1706,chemo,T39,0.0011301500702924,-0.165577067293794,0.0981946099389889,0.0182450860055507,-0.1116026231017027,3,1.46
1707,W1707,horde,T73,0.00020580286209778768,0.0428499266300285,0.0207303148714269,0.0124560249188956,-0.0232052462034053,2,1.44
1709,W1709,clinic,T20,0.0034778787671906,1.966644043158413,0.1848002553855412,0.0369496118245238,0.3897530030281427,6,1.52
